"method"	"path"	"declaring_service"	"source_file"	"annotation_line"	"signature_end_line"	"classification"	"confidence"
"GET"	"/v2/alist/profiles/{profileId}"	"com.grindrapp.android.aList.data.api.AListRestService"	"sources/com/grindrapp/android/aList/data/api/AListRestService.java"	"23"	"24"	"first-party/Grindr"	"high"
"GET"	"/v6/alist/profiles"	"com.grindrapp.android.aList.data.api.AListRestService"	"sources/com/grindrapp/android/aList/data/api/AListRestService.java"	"26"	"27"	"first-party/Grindr"	"high"
"GET"	"/v3/alist/updates"	"com.grindrapp.android.aList.data.api.AListRestService"	"sources/com/grindrapp/android/aList/data/api/AListRestService.java"	"29"	"30"	"first-party/Grindr"	"high"
"DELETE"	"/v1/alist/profiles/{profileId}"	"com.grindrapp.android.aList.data.api.AListRestService"	"sources/com/grindrapp/android/aList/data/api/AListRestService.java"	"32"	"33"	"first-party/Grindr"	"high"
"POST"	"/v1/alist/feedback/{conversationId}"	"com.grindrapp.android.aList.data.api.AListRestService"	"sources/com/grindrapp/android/aList/data/api/AListRestService.java"	"35"	"36"	"first-party/Grindr"	"high"
"POST"	"/v1/alist/trigger-generation"	"com.grindrapp.android.aList.data.api.AListRestService"	"sources/com/grindrapp/android/aList/data/api/AListRestService.java"	"38"	"39"	"first-party/Grindr"	"high"
"GET"	"v1/bls/me/active-studies"	"com.grindrapp.android.ads.feature.bls.data.datasource.api.service.BlsService"	"sources/com/grindrapp/android/ads/feature/bls/data/datasource/api/service/BlsService.java"	"13"	"14"	"first-party/Grindr"	"high"
"HEAD"	"<dynamic @Url or empty>"	"com.grindrapp.android.ads.feature.dnsadblockerdetector.data.remote.AdBlockerDetectionConfirmationService"	"sources/com/grindrapp/android/ads/feature/dnsadblockerdetector/data/remote/AdBlockerDetectionConfirmationService.java"	"13"	"14"	"first-party/Grindr"	"medium"
"HEAD"	"<dynamic @Url or empty>"	"com.grindrapp.android.ads.feature.dnsadblockerdetector.data.remote.AdBlockerDetectionService"	"sources/com/grindrapp/android/ads/feature/dnsadblockerdetector/data/remote/AdBlockerDetectionService.java"	"13"	"14"	"first-party/Grindr"	"medium"
"GET"	"v1/rewarded-ads/rewards"	"com.grindrapp.android.ads.feature.rewarded.data.api.RewardedAdService"	"sources/com/grindrapp/android/ads/feature/rewarded/data/api/RewardedAdService.java"	"18"	"19"	"first-party/Grindr"	"high"
